module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
CC1101 V1 433 MHz,tx,8,0.0,38.4,5,5,5,0.37616178449777815,0.0010546961415211415,14.348877443165355,18.479299548406466,7.95,0.5257142857142857
CC1101 V1 433 MHz,tx,32,0.0,38.4,5,5,5,0.6575591992193202,0.0018454897982870938,15.756804302149664,18.162665441536948,12.646,0.5257142857142857
CC1101 V1 433 MHz,tx,64,0.0,38.4,5,5,5,1.4021513800659737,0.002749981604085797,10.488164384668973,18.92630078905911,40.516,0.0
CC1101 V1 433 MHz,tx,128,0.0,38.4,5,5,5,2.8923137267480916,0.0018983519852532895,9.088549175142782,19.57631127710885,96.436,0.5257142857142857
CC1101 V1 433 MHz,tx,512,0.0,38.4,5,5,5,11.83479720130518,0.009900210828871612,8.29724782555642,20.73253422097664,432.22799999999995,0.0
CC1101 V1 433 MHz,tx,1024,0.0,38.4,5,5,5,23.74459795663365,0.009064965183655767,8.174303623089623,21.059111579412665,880.2379999999999,0.14515089528399697
CC1101 V1 433 MHz,tx,8,0.0,250.0,5,5,5,0.0872404574140219,0.0015818570007055785,10.796116598637607,17.906289255176567,2.464,0.5257142857142857
CC1101 V1 433 MHz,tx,32,0.0,250.0,5,5,5,0.1337802907466729,0.0017753169086466183,12.07798556455581,18.470273449262947,3.3659999999999997,0.5257142857142857
CC1101 V1 433 MHz,tx,64,0.0,250.0,5,5,5,0.3537703872875104,0.004107116200313332,4.970251246411057,18.98290860743638,21.574,0.5257142857142857
CC1101 V1 433 MHz,tx,128,0.0,250.0,5,5,5,0.792222769355757,0.003971133319308102,4.172100780877782,18.92705548623229,57.544000000000004,0.5257142857142857
CC1101 V1 433 MHz,tx,512,0.0,250.0,5,5,5,3.426939260514459,0.0038213811900088563,3.7922126736435455,20.646006166494875,273.842,0.2994200046064616
CC1101 V1 433 MHz,tx,1024,0.0,250.0,5,5,5,6.931158087675834,0.006506678787993072,3.739888575281891,20.99171533089075,561.608,0.24119773143755296
CC1101 V1 433 MHz,tx,8,10.0,1.2,5,5,5,32.04467470690569,0.03705984321120069,49.543405046844235,51.2980265057567,196.0,0.11901110361327526
CC1101 V1 433 MHz,tx,32,10.0,1.2,5,5,5,58.31443020377763,0.023757951126043755,49.60458844090938,51.24384581314765,356.238,0.18718781824353814
