module_label,profile_id,band_mhz,source_run,voltage_mv,ppk_mode,rx_validation_enabled,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_received,packet_success_percent,baseline_median_mA_mean,baseline_median_mA_stdev,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_mA_mean,tx_mean_mA_stdev,tx_peak_mA_mean,tx_peak_mA_stdev,charge_total_uC_mean,charge_total_uC_stdev,charge_excess_uC_mean,charge_excess_uC_stdev,energy_total_uJ_mean,energy_total_uJ_stdev,energy_excess_uJ_mean,energy_excess_uJ_stdev,energy_excess_mJ_mean,energy_excess_per_payload_byte_uJ
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,10.0,1.2,5,5,0,0.0,1.7409891794571832,0.002380892746993145,476.46000000000004,0.012247448713927958,28.17886806079333,0.007558796094152733,29.845269907733833,0.08358078317353868,13426.103504802377,3.7480745168106635,12596.735104105219,4.414092621715135,44306.14156584784,12.36864590547447,41569.22584354722,14.566505651660858,41.569225843547216,649.5191538054253
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,10.0,38.4,5,5,,,1.7897141284040807,0.0038945563963171835,4.606,0.008944271909999415,36.57699686867458,0.08462883341228372,50.86486474747261,0.12455730905830378,168.47311079713086,0.18117842761421246,160.29028850191875,0.1752190992395536,555.9612656305318,0.5978888111269262,528.9579520563318,0.5782230274905175,0.5289579520563318,66.11974400704148
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,10.0,38.4,5,5,2,40.0,1.7401198003474971,0.0019439907874755247,4.790000000000001,0.3638681079732051,20.97049695487596,1.331734490927471,31.489824748161546,2.5686822528517874,100.06156021330537,0.7030601057861294,92.0133840078802,0.4162660774052267,330.2031487039077,2.320098349094217,303.6441672260047,1.3736780554372532,0.3036441672260047,37.95552090325059
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,10.0,38.4,5,5,,,1.7905847929119705,0.0019471524490136838,9.862,0.2504396134799767,42.546748118150674,0.9832755423762923,50.98393436340823,0.15594295500686178,419.39919803369656,0.75021915767936,401.8798597627404,0.5168977093368391,1384.0173535111985,2.475723220341885,1326.2035372170435,1.705762440811598,1.3262035372170435,41.44386053803261
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,10.0,38.4,5,5,1,20.0,1.7392504212378117,0.0,9.902,0.37359068510871646,24.518368312332004,0.8373780266284452,30.257341852079115,1.143105770540949,242.5306940649801,0.5032237998322681,225.55575046469212,0.2638220596693656,800.3512904144343,1.6606385394464929,744.333976533484,0.8706127969088953,0.744333976533484,23.260436766671376
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,10.0,38.4,5,5,,,1.7897139998642604,0.002384764975747082,16.596,0.005477225575052517,45.367248160694096,0.015624847471734121,51.01639630443384,0.11093683561744463,752.9147961734012,0.16367664023158285,723.2778150299164,0.165351102034827,2484.618827372224,0.5401329127642541,2386.816789598724,0.5456586367149469,2.386816789598724,37.29401233748006
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,10.0,38.4,5,5,0,0.0,1.7392504212378117,0.0,16.582,0.010954451150103088,26.021238548992915,0.035085203116034205,33.029573711306945,2.055153930033024,431.48405828051256,0.5394538389453214,402.7712736185391,0.546507041290704,1423.8973923256913,1.7801976685195382,1329.145202941179,1.8034732362593315,1.329145202941179,20.76789379595592
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,10.0,250.0,5,5,,,1.7853606773248125,0.005840738796440647,2.234,0.29159903977894014,15.98527853303611,1.7496398455305076,50.76750360114259,0.15582446664541133,35.30391695169799,0.9776685756045576,31.596397819525066,0.6780271498895093,116.50292594060336,3.2263062994950364,104.26811280443272,2.237489594635381,0.10426811280443272,13.03351410055409
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,10.0,250.0,5,5,0,0.0,1.7401198003474971,0.0019439907874755247,2.088,0.3705671329192593,11.751928932834355,1.4702322552329998,32.07438465729493,2.6274113340420246,24.103450710072142,0.6232652194159928,20.73334473828757,0.3516072325134569,79.54138734323806,2.0567752240727746,68.42003763634898,1.1603038672944048,0.06842003763634898,8.552504704543622
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,10.0,250.0,5,5,,,1.7897139998642604,0.002384764975747082,3.058,0.3031006433513461,24.634911452595535,2.1795456118149015,50.76749331916475,0.13026981054070197,74.80627383552215,0.712116384364336,69.5610617568536,0.49490207511457684,246.86070365722307,2.3499840684023123,229.5515037976169,1.633176847878111,0.2295515037976169,7.173484493675528
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,10.0,250.0,5,5,0,0.0,1.7392504212378117,0.0,3.1719999999999997,0.45471969387744804,15.197051196354838,1.8803404017686853,29.55574141043612,0.1348139917784944,47.52180198780246,0.6978259299021138,42.39665691924159,0.3226347248597053,156.8219465597481,2.3028255686769787,139.90896783349726,1.0646945920370308,0.13990896783349727,4.372155244796789
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,10.0,250.0,5,5,,,1.786231598912343,0.007153238864853775,4.148000000000001,0.2471234509309066,30.68689286911355,1.665539606375893,50.7999840497283,0.20738533284299435,126.96085562168817,0.5166524038311533,119.69838747057352,0.49874406670900817,418.970823551571,1.704952932642806,395.0046786528926,1.6458554201397109,0.3950046786528926,6.171948103951447
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,10.0,250.0,5,5,0,0.0,1.7392504212378117,0.0,4.37,0.42953463189829055,17.9465387064568,1.567330966611068,30.331250705362507,1.9186846120037044,77.8883628806199,0.7128151448130279,70.69720060142097,0.3948740060522771,257.03159750604567,2.352289977882992,233.3007619846892,1.303084219972504,0.2333007619846892,3.6453244060107686
