slug,code,label,direction,payload_bytes,mode,rate_kbps,power_dbm,energy_mJ,energy_per_bit_uJ,duration_ms,runs,packets_received
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,1024,19.2 kbps,19.2,30.0,274.381870148084,33.49388063331103,1600.0,5,0
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,8,19.2 kbps,19.2,20.0,7.910219589583605,123.59718108724383,23.877999999999997,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,8,19.2 kbps,19.2,20.0,1.923150388337181,30.049224817768454,40.0,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,32,19.2 kbps,19.2,20.0,17.65925105105156,68.98144941817016,53.06,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,32,19.2 kbps,19.2,20.0,3.080981171125063,12.035082699707278,64.0,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,58,19.2 kbps,19.2,20.0,28.35879736034982,61.118097759374606,85.318,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,58,19.2 kbps,19.2,20.0,4.327941780264965,9.327460733329666,90.0,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,128,19.2 kbps,19.2,20.0,66.04570732917647,64.4977610636489,199.132,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,128,19.2 kbps,19.2,20.0,10.817525987832543,10.563990222492718,224.0,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,512,19.2 kbps,19.2,20.0,248.88434797908775,60.76278026833197,755.568,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,512,19.2 kbps,19.2,20.0,38.64084284704951,9.433799523205447,800.0,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,tx,1024,19.2 kbps,19.2,20.0,498.0906361721742,60.80207961086111,1511.1380000000001,5,5
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,rx,1024,19.2 kbps,19.2,20.0,77.14347742530322,9.41692839664346,1600.0,5,4
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,8,19.2 kbps,19.2,30.0,41.74860297094136,652.3219214209588,29.052,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,8,19.2 kbps,19.2,30.0,2.9953578398232783,46.802466247238726,40.0,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,32,19.2 kbps,19.2,30.0,91.64829829241222,358.00116520473523,57.948,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,32,19.2 kbps,19.2,30.0,4.884442772503712,19.079854580092622,64.0,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,58,19.2 kbps,19.2,30.0,146.8913711850361,316.57623100223293,89.77799999999999,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,58,19.2 kbps,19.2,30.0,6.921489659542052,14.917003576599251,90.0,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,128,19.2 kbps,19.2,30.0,343.362813850751,335.31524790112405,212.502,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,128,19.2 kbps,19.2,30.0,19.458044574233103,19.001996654524515,254.0,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,512,19.2 kbps,19.2,30.0,1298.4309759840535,316.9997499961068,797.3720000000001,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,512,19.2 kbps,19.2,30.0,70.3442722250032,17.17389458618242,920.0,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,tx,1024,19.2 kbps,19.2,30.0,2590.6214198499333,316.23796629027504,1593.266,5,5
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,rx,1024,19.2 kbps,19.2,30.0,141.64698962798164,17.29089228857198,1855.0,5,5
